"Part";"Value";"Device";"Package";"Description";"PARTNUM";"TP_SIGNAL_NAME";
"C1";"4.7uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"CL21A475KOFNNNE";"";
"C2";"0.1uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"GRM155R61A104KA01D";"";
"C3";"0.1uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"GRM155R61A104KA01D";"";
"C4";"0.1uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"GRM155R61A104KA01D";"";
"C5";"4.7uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"CL21A475KOFNNNE";"";
"C6";"1000uF";"CPOL-US";"3.5MM_8MM";"POLARIZED CAPACITOR, American symbol";"EKY-100ELL102MH20D";"";
"C7";"1uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"CL21B105KBFNNNE";"";
"C8";"1uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"CL21B105KBFNNNE";"";
"C9";"1uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"CL21B105KBFNNNE";"";
"C10";"1uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"CL21B105KBFNNNE";"";
"C11";"1uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"CL21B105KBFNNNE";"";
"C12";"1uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"CL21B105KBFNNNE";"";
"D2";"GF1";"GF1";"SMA-DO214AC";"DIODE";"S1J";"";
"D3";"5.1V";"ZENER-DIODESOT23";"SOT23";"Z-Diode";"BZX84C4V7-TP ";"";
"D4";"PMEG2005CT,215";"PMEG2005CT,215";"SOT-23";"";"PMEG2005CT,215";"";
"FRAME2";"";"DINA-DOC";"DINA-DOC";"DINA DOC";"";"";
"J1";"ICSP";"ICSP";"ICSP";"Programming ICSP Header";"PRPC012DAANRC";"";
"J3";"5BC-3-CA-F";"5BC-3-CA-F";"3_PIN_CONNECTOR";"Connector Recept, 3-Pin";"5BC-3-CA-F";"";
"J4";"640455-2";"640455-2";"2-PIN_CONNECTOR";"2 Pin Rectangular Connector";"640455-2";"";
"J5";"640455-2";"640455-2";"2-PIN_CONNECTOR";"2 Pin Rectangular Connector";"640455-2";"";
"J6";"640455-2";"640455-2";"2-PIN_CONNECTOR";"2 Pin Rectangular Connector";"640455-2";"";
"J7";"640455-2";"640455-2";"2-PIN_CONNECTOR";"2 Pin Rectangular Connector";"640455-2";"";
"J8";"640455-2";"640455-2";"2-PIN_CONNECTOR";"2 Pin Rectangular Connector";"640455-2";"";
"L1";"10nH";"L-USL0805";"R0805";"INDUCTOR, American symbol";"CE201210-10NJ ";"";
"Q1";"DMN63D8LDW-7";"DMN63D8LDW-7";"SOT363";"Dual MOSFET 2N-CH 30V 220MA SOT363";"DMN63D8LDW-7";"";
"Q3";"DMG1012UW-7";"DMG1012UW-7";"SOT323";"MOSFET N-CH 20V 1A SOT323";"DMG1012UW-7";"";
"R1";"10K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"ESR10EZPJ103";"";
"R2";"10K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"ESR10EZPJ103";"";
"R3";"1k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"MCR10ERTF1001";"";
"R4";"10K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"ESR10EZPJ103";"";
"R5";"10k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"ESR10EZPJ103";"";
"R6";"10";"R-US_R2512";"R2512";"RESISTOR, American symbol";"CRM2512-JW-100ELF ";"";
"R7";"330";"R-US_R0805";"R0805";"RESISTOR, American symbol";"MCR10ERTF3300";"";
"R8";"1k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"MCR10ERTF1001";"";
"R9";"10K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"ESR10EZPJ103";"";
"R10";"10k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"ESR10EZPJ103";"";
"R11";"1k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"MCR10ERTF1001";"";
"R12";"10k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"ESR10EZPJ103";"";
"R13";"1M";"R-US_R0805";"R0805";"RESISTOR, American symbol";"RMCF0805JT1M00";"";
"R14";"220";"R-US_R0805";"R0805";"RESISTOR, American symbol";"RMCF0805FT220R";"";
"R15";"100";"R-US_R0805";"R0805";"RESISTOR, American symbol";"ESR10EZPJ103";"";
"R16";"100";"R-US_R0805";"R0805";"RESISTOR, American symbol";"ESR10EZPJ103";"";
"R17";"100";"R-US_R0805";"R0805";"RESISTOR, American symbol";"ESR10EZPJ103";"";
"S2";"SKHMPSE010";"SKHMPSE010";"SKHMPXE010";"6.2 X 6.5mm TACT Switch (SMD)";"";"";
"TP1";"TPTP19R";"TPTP19R";"TP19R";"Test pad";"";"";
"U1";"ATMEGA88A";"ATMEGA88A";"TQFP32";"ATMega88A";"ATMEGA88A-AUR ";"";
"U2";"4584D";"4584D";"SO14";"Hex SCHMITT TRIGGER (74C14)";"4584D";"";
"U3";"MCP1802";"MCP1802";"SOT23-5";"5V Voltage Regulator MCP1802";"MCP1802";"";
